house name,price per week,room type,bedroom,bathroom,parking,school 1,distance 1,school 2,distance 2,school 3,distance 3,school 4,distance 4,school 5,distance 5
1/5 Wheeler Place Geelong Vic 3220,470,Townhouse,2,2,2,Geelong High School,496,St Mary's Primary School,868,Geelong South Primary School,1235,Matthew Flinders Girls Secondary College,1395,St Margaret's School,1540
1/765 Punt Road South Yarra Vic 3141,500,Apartment,2,2,0,Christ Church Grammar School,269,South Yarra Primary School,620,Melbourne Girls' Grammar School - an Anglican School,631,Melbourne High School,762,Kamaruka Education Centre,987
1/803 Whitehorse Road Mont Albert Vic 3127,1000,Townhouse,3,3,3,Box Hill Senior Secondary College,702,Mont Albert Primary School,852,Our Holy Redeemer School,1088,Surrey Hills Primary School,1419,Our Lady of Perpetual Succour School,1516
1/9 Lex Grove Oak Park Vic 3046,460,Unit,3,1,1,St Francis de Sales School,380,Pascoe Vale Girls Secondary College,839,Oak Park Primary School,957,Westbreen Primary School,968,Strathmore North Primary School,1056
2 Bird Avenue Northcote Vic 3070,530,House,3,1,2,Croxton Special School,577,Thornbury Primary School,864,Northcote High School,864,St Mary's School,1010,Brunswick East Primary School,1144
2 Cornwall Street Brunswick West Vic 3055,650,House,3,1,1,Brunswick North Primary School,198,Brunswick North West Primary School,549,St Joseph's School,675,St Fidelis' Primary School,1013,Coburg West Primary School,1243
2 Loyola Avenue Brunswick Vic 3056,795,House,4,2,2,Sydney Road Community School,704,Brunswick South Primary School,896,Our Lady Help of Christians School,945,Brunswick East Primary School,1083,Princes Hill Primary School,1199
2 Pennell Avenue St Albans Vic 3021,340,House,3,1,1,St Albans Primary School,972,Victoria University Secondary College,1072,Catholic Regional College St Albans,1076,Sacred Heart Primary School,1162,University Park Primary School,1190
2 Rona Road Point Cook Vic 3030,420,House,4,2,2,Featherbrook College P-9,556,Alamanda K-9 College,997,Point Cook Prep - Year 9 College,1257,Stella Maris Catholic Primary School,1523,Point Cook Senior Secondary College,1797
20 Bickley Street Melton West Vic 3337,400,House,4,2,2,St Catherine's School,1751,Catholic Regional College Melton,1751,Kurunjang Primary School,2151,Kurunjang Secondary College,2225,Wedge Park Primary School,2610
2004/288 Spencer Street Melbourne Vic 3000,360,Apartment,1,1,0,Ozford College,231,Haileybury College - City Campus,312,Simonds Catholic College,872,Docklands Primary School,972,St Joseph's Flexible Learning Centre,1124
201/19 Lillimur Road Ormond Vic 3204,480,House,2,2,1,Katandra School,70,Kilvington Grammar School,260,St Kevin's Parish School,393,Mount Scopus Memorial College - Caulfield Junior Division,708,Ormond Primary School,854
203/174 Burnley Street Richmond Vic 3121,500,Apartment,1,1,1,Trinity Catholic School,384,Yarra Primary School,505,Richmond High School - Griffiths Campus,510,Lynall Hall Community School,579,Melbourne Girls College,696
203/770D Toorak Road Glen Iris Vic 3146,,Apartment,2,1,1,Alia College,275,Bialik College,416,Auburn High School,681,Auburn South Primary School,730,Camberwell South Primary School,1445
205/4 Moonering Drive Coburg Vic 3058,450,Apartment,2,2,1,St Paul's Parish Primary School,329,Coburg Primary School,668,Coburg High School,722,Mercy College,745,St Bernard's Primary School,1368
205/6 Station St Moorabbin Vic 3189,430,House,2,1,1,Berendale School,661,Moorabbin Primary School,879,Our Lady of the Sacred Heart College,1124,Tucker Road Bentleigh Primary School,1200,St Agnes' Primary School,1355
206/126 Chapel Street St Kilda Vic 3182,450,Apartment,1,1,1,St Kilda Primary School,115,Yesodei Hatorah College,744,Yeshivah and Beth Rivkah Colleges,878,Beth Rivkah Ladies College,939,St Michael's Grammar School,1055
21 South Hampton Drive Point Cook Vic 3030,410,House,3,2,2,Carranballac P-9 College,630,Point Cook Senior Secondary College,1273,Seabrook Primary School,1342,Lumen Christi Catholic Primary School Point Cook,1737,Stella Maris Catholic Primary School,1895
