,Suburbs,Addresses,Price per week ($),Bedrooms,Bathrooms,Garages,Land Sizes (m^2),Nearest Schools
1750,RICHMOND VIC 3121,"307/339 Burnley Street, RICHMOND VIC 3121",$390,2,1,1,,"['0.7 km away', '0.8 km away', '0.9 km away']"
1751,HAWTHORN VIC 3122,"6/566 Glenferrie Road, HAWTHORN VIC 3122",$480.00,1,1,1,,"['0.4 km away', '0.7 km away', '1.7 km away']"
1752,MELBOURNE VIC 3000,"305/16 Liverpool Street, MELBOURNE VIC 3000",$480.00,2,2,1,,"['1 km away', '1.9 km away', '1.7 km away']"
1753,HAWTHORN EAST VIC 3123,"404/30-32 Lilydale Grove, HAWTHORN EAST VIC 3123",$540,2,1,1,,"['0.4 km away', '0.6 km away', '1.8 km away']"
1754,HAWTHORN VIC 3122,"6/566 Glenferrie Road, HAWTHORN VIC 3122",$480.00,1,1,0,,"['0.4 km away', '0.7 km away', '1.7 km away']"
1755,BRUNSWICK WEST VIC 3055,"6/76 Heller Street, BRUNSWICK WEST VIC 3055",$280,2,2,1,,"['0.5 km away', '1 km away', '1.3 km away']"
1756,RINGWOOD VIC 3134,"209/21-23 Bourke Street, RINGWOOD VIC 3134",$440,2,1,2,183,"['1.3 km away', '1.3 km away', '0.7 km away']"
1757,BAXTER VIC 3911,"2/3 Hayles Mews, BAXTER VIC 3911",$350,2,1,1,,"['2.7 km away', '2.7 km away', '5.7 km away']"
1758,TRAVANCORE VIC 3032,"1819/18 Mt Alexander Road, TRAVANCORE VIC 3032",$370.00,1,1,1,,"['0.3 km away', '0.6 km away', '10.2 km away']"
1759,DOCKLANDS VIC 3008,"307/8 McCrae St, DOCKLANDS VIC 3008",$450,2,1,1,,"['2.8 km away', '0.9 km away', '1.3 km away']"
1760,THORNBURY VIC 3071,"4/20 Alexandra Street, THORNBURY VIC 3071",$400,2,1,1,,"['0.2 km away', '1.7 km away', '1.7 km away']"
1761,MOONEE PONDS VIC 3039,"1311/40 Hall Street, MOONEE PONDS VIC 3039",$490,2,2,1,,"['1.1 km away', '2.1 km away', '8.3 km away']"
1762,CAROLINE SPRINGS VIC 3023,"144/73 Lake Street, CAROLINE SPRINGS VIC 3023",$400,2,1,1,,"['0.5 km away', '0.9 km away', '6.8 km away']"
1763,MAIDSTONE VIC 3012,"1/101 Ballarat Road, MAIDSTONE VIC 3012",$315,2,2,1,,"['0.6 km away', '1.3 km away', '2 km away']"
1764,SOUTHBANK VIC 3006,"2708/105 Clarendon Street, SOUTHBANK VIC 3006",$600,2,2,1,,"['0.5 km away', '1.8 km away', '3.9 km away']"
1765,CARLTON VIC 3053,"517/555 Swanston St, CARLTON VIC 3053",$600,2,1,1,,"['0.7 km away', '1.2 km away', '0.7 km away']"
1766,CLAYTON VIC 3168,"15/1 Monash Green Drive, CLAYTON VIC 3168",$420.00,2,2,1,,"['0.9 km away', '1.3 km away', '2.1 km away']"
